st_delivname,kepid,tm_designation,ra,dec,kepmag,teff,teff_prov,logg,logg_prov,feh,feh_prov,radius,mass,dens,prov_sec,nconfp,nkoi,ntce,st_quarters,st_vet_date
q1_q17_dr25_supp_stellar,6922309,2MASS J18451870+4225116,281.32794,42.419899,15.172,5768,PHO1,4.369,KIC0,-0.16,KIC0,1.028,0.902,1.17,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6922313,2MASS J18451927+4229013,281.33032000000003,42.483711,11.366,5904,PHO1,3.9330000000000003,FLK73,-0.22,KIC0,1.848,1.067,0.2384,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6922321,2MASS J18452055+4229591,281.33563,42.499748,14.99,5624,PHO1,4.377,KIC0,-0.18,KIC0,0.987,0.847,1.242,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6922583,2MASS J18455568+4228534,281.48199,42.481499,12.549000000000001,6002,PHO1,3.8760000000000003,FLK73,-0.26,KIC0,2.031,1.131,0.1902,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6922710,2MASS J18461474+4227018,281.56146,42.4505,11.863,5865,SPE59,4.393,SPE59,0.07,SPE59,1.0659999999999998,1.024,1.1909999999999998,DSEP,1,1,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6922774,2MASS J18462291+4226164,281.59549,42.437889,12.423,5244,PHO1,4.02,FLK73,0.12,KIC0,1.56,0.929,0.3447,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6923160,2MASS J18471439+4227159,281.80997,42.45443,14.505999999999998,5919,PHO1,4.351,KIC0,-0.12,KIC0,1.089,0.97,1.06,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6923171,2MASS J18471599+4227335,281.81662,42.459309000000005,15.118,5654,PHO1,4.316,KIC0,0.02,KIC0,1.1079999999999999,0.926,0.9582,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6923599,2MASS J18481008+4229474,282.04202000000004,42.496497999999995,12.46,5796,PHO54,4.181,PHO54,-0.04,PHO54,1.328,0.976,0.5867,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6923711,2MASS J18482303+4225059,282.09598,42.41832,14.859000000000002,5412,KIC0,3.775,KIC0,-0.56,KIC0,2.044,0.908,0.1497,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6923824,2MASS J18483568+4224153,282.14867999999996,42.404270000000004,15.251,5962,PHO1,4.377,KIC0,-0.14,KIC0,1.061,0.979,1.153,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6923885,2MASS J18484342+4229350,282.18091,42.49308,13.190999999999999,5997,PHO1,4.247,KIC0,-0.3,KIC0,1.205,0.934,0.7527,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6923911,2MASS J18484531+4227107,282.18881,42.452991,15.37,5663,PHO1,4.331,KIC0,0.02,KIC0,1.089,0.928,1.011,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6923970,2MASS J18485207+4225415,282.21695,42.4282,13.599,5970,PHO1,4.17,KIC0,-0.22,KIC0,1.339,0.969,0.5681,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6924431,2MASS J18494547+4225188,282.43948,42.421902,13.717,5749,PHO1,3.8539999999999996,KIC0,-0.08,KIC0,2.119,1.171,0.1735,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6924545,2MASS J18495757+4227479,282.4899,42.46331,15.163,5455,PHO1,4.396,KIC0,-0.12,KIC0,0.948,0.816,1.351,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6924776,2MASS J18502244+4226570,282.59351000000004,42.449181,15.550999999999998,5704,PHO1,4.334,KIC0,0.28,KIC0,1.147,1.033,0.9649,DSEP,0,0,0,,2018-01-06 0
