KIC,Period,teff,logg,radius,mass,dens
10063527,10.986,5802.0,4.383,1.019,0.915,1.217
8260135,26.136,5597.0,3.84,2.22,1.242,0.1599
7509667,0.0,5712.0,4.072,1.508,0.98,0.4023
11649990,1.992,5985.0,4.324,1.026,0.81,1.055
3642402,13.641,5895.0,4.283,1.149,0.9259999999999999,0.8587
10716302,0.0,5480.0,4.22,1.229,0.914,0.6939
3645789,17.362,5823.0,3.819,2.363,1.3430000000000002,0.1433
6891299,0.0,6046.0,4.347,1.138,1.048,1.001
5009384,0.0,5620.0,3.957,1.84,1.117,0.2527
1866778,10.76,5962.0,3.651,3.1060000000000003,1.574,0.07402
8297569,38.201,6043.0,4.399,1.023,0.9570000000000001,1.258
10924142,40.626,5814.0,4.165,1.239,0.818,0.6055
11254382,14.204,5626.0,4.271,1.185,0.956,0.8091
8580438,7.674,5516.0,4.364,0.988,0.825,1.203
3453579,0.0,5579.0,4.308,1.067,0.843,0.978
5637994,16.102,5982.0,4.123,1.364,0.9009999999999999,0.5
9533062,0.0,5968.0,4.3260000000000005,1.055,0.861,1.032
8332260,0.0,5956.0,4.3889999999999985,1.12,1.121,1.124
9897795,0.0,6018.0,4.089,1.62,1.1740000000000002,0.3891
5449264,14.086,5891.0,4.38,1.065,0.992,1.158
5282313,14.673,5575.0,4.364,1.017,0.871,1.168
6422390,15.444,5960.0,4.1,1.459,0.978,0.4435
5822286,5.597,5529.0,4.385,0.989,0.865,1.262
3943262,15.24,5911.0,4.334,1.073,0.907,1.034
6344224,17.497,5919.0,4.323,1.103,0.932,0.9795
9692557,14.932,5827.0,3.74,2.286,1.047,0.1233
10855313,36.932,5204.0,3.776,2.317,1.17,0.1324
7339348,2.11,5827.0,4.247,1.126,0.816,0.8047
10779917,0.0,5209.0,4.322,1.082,0.8959999999999999,0.9966
4731961,12.052,6022.0,4.349,1.064,0.9229999999999999,1.079
5340535,20.972,5952.0,3.694,2.838,1.452,0.08947000000000001
8473971,28.08,5763.0,4.381,0.929,0.757,1.33
7008719,17.773,5870.0,4.376,1.104,1.055,1.105
8054838,14.583,5383.0,4.055,1.482,0.91,0.3939
8189674,18.753,5583.0,3.633,3.049,1.4569999999999999,0.07241
11807529,16.186,5926.0,4.3660000000000005,1.147,1.114,1.04
12011535,25.094,5427.0,3.656,3.05,1.5390000000000001,0.0764
11672461,13.706,5766.0,4.363,1.068,0.96,1.109
7523145,9.131,5955.0,3.989,1.741,1.078,0.2875
5450893,10.388,6046.0,4.158,1.396,1.024,0.5302
4248221,13.902,5452.0,3.679,2.633,1.206,0.09307
9715739,48.002,5952.0,4.282,1.108,0.857,0.8873
6128841,20.3,5892.0,4.142,1.37,0.95,0.5205
9409185,9.495,5650.0,4.098,1.361,0.846,0.4727
6627158,16.723,5566.0,4.3660000000000005,0.993,0.8340000000000001,1.202
5343741,12.164,5741.0,4.348,1.098,0.9790000000000001,1.043
9945576,29.932,5892.0,4.382,1.038,0.9470000000000001,1.193
4916520,16.058,5952.0,4.135,1.3530000000000002,0.91,0.5179
6755706,23.261,5931.0,3.957,1.717,0.9740000000000001,0.2709
1868676,31.403,5770.0,4.072,1.548,1.032,0.3915
11519516,16.465,5959.0,4.089,1.602,1.149,0.3936
9242465,15.741,5857.0,3.764,2.497,1.3219999999999998,0.1195
4047918,0.0,5919.0,4.346,0.966,0.754,1.179
2285621,20.163,5582.0,4.3260000000000005,1.118,0.965,0.9727
8813698,12.279,5803.0,4.227,1.249,0.961,0.6939
9964492,11.982,5861.0,4.398,1.12,1.146,1.149
8581574,45.164,5613.0,3.846,2.246,1.29,0.1604
8126029,11.622,5854.0,4.05,1.475,0.889,0.3908
10615440,9.521,6018.0,4.327,1.212,1.1420000000000001,0.9024
5003566,21.613,5808.0,4.384,1.036,0.9470000000000001,1.2009999999999998
3837456,18.09,5746.0,3.842,1.999,1.015,0.1788
6392768,12.161,5899.0,4.127,1.348,0.888,0.5101
10355387,20.819,5548.0,4.339,1.022,0.833,1.099
6211942,12.687,5515.0,4.3889999999999985,0.95,0.807,1.3259999999999998
7037723,12.622,5962.0,4.034,1.71,1.153,0.3249
7848790,9.324,5908.0,3.983,1.682,0.991,0.2934
8330754,0.0,5582.0,4.348,1.074,0.9359999999999999,1.0659999999999998
11013409,0.0,5758.0,4.066,1.633,1.1320000000000001,0.3663
9333180,0.0,5861.0,4.306,1.075,0.8540000000000001,0.967
9118981,1.495,6040.0,3.947,1.791,1.037,0.2542
8289534,11.97,5929.0,4.308,1.214,1.093,0.8609
9366989,12.919,5833.0,4.333,1.192,1.115,0.9275
2720309,0.413,5614.0,3.746,2.564,1.3359999999999999,0.1117
5729890,13.303,5930.0,4.397,1.052,1.0070000000000001,1.218
9706565,14.743,5931.0,4.301,1.214,1.075,0.8461
8413815,15.823,5795.0,3.869,2.172,1.271,0.1747
8344820,0.0,5997.0,4.307,1.065,0.838,0.9771
6504503,15.046,5516.0,4.1389999999999985,1.335,0.895,0.5297
5772558,21.69,5539.0,4.399,0.964,0.85,1.339
11410948,19.976,5988.0,4.109,1.419,0.945,0.4661
6212235,16.249,5947.0,4.078,1.6030000000000002,1.122,0.384
7378181,11.114,6056.0,4.397,1.079,1.054,1.181
7699242,17.075,5497.0,4.372,1.001,0.86,1.208
3853942,13.386,5272.0,3.717,2.066,0.8109999999999999,0.1296
8295304,34.297,5509.0,4.334,1.038,0.848,1.069
5040480,8.322,5310.0,3.955,1.632,0.877,0.2842
5438471,13.805,5684.0,4.243,1.2009999999999998,0.9209999999999999,0.7484
5610665,16.513,6050.0,4.3260000000000005,1.128,0.9840000000000001,0.9648
8039785,12.135,5776.0,4.337,1.017,0.818,1.096
5476497,20.303,6050.0,3.694,2.693,1.308,0.09431
4345548,14.804,5552.0,4.115,1.372,0.895,0.4883
9300457,21.156,5873.0,3.847,2.07,1.1,0.1746
9897010,9.008,5446.0,3.796,2.3040000000000003,1.208,0.1391
4663251,15.427,5746.0,3.927,1.957,1.18,0.2217
2997755,0.0,5929.0,4.345,1.098,0.9740000000000001,1.037
2854141,21.092,6042.0,4.271,1.243,1.05,0.7706
7515994,17.047,5755.0,4.388,1.016,0.922,1.236
8128665,0.0,6042.0,4.275,1.22,1.023,0.7929
7820866,15.449,6025.0,4.39,1.041,0.972,1.212
4048526,15.41,6007.0,3.665,2.5810000000000004,1.123,0.09194
8711555,10.576,6053.0,4.1160000000000005,1.3769999999999998,0.903,0.487
2582973,21.333,5685.0,4.214,1.27,0.963,0.6629999999999999
11725348,14.225,5636.0,4.386,0.956,0.8109999999999999,1.3090000000000002
7840145,6.314,5778.0,4.087,1.452,0.94,0.4326
8656361,5.284,6033.0,3.741,2.649,1.411,0.1069
10753401,15.001,5841.0,4.135,1.335,0.888,0.5256
8885419,19.154,5782.0,4.025,1.666,1.073,0.3269
8558997,41.358,5984.0,4.311,1.1,0.902,0.956
9397038,19.741,5753.0,4.194,1.29,0.948,0.6218
7341020,6.862,5786.0,3.79,2.465,1.3659999999999999,0.1284
11340197,0.0,5356.0,3.999,1.564,0.89,0.3275
1571088,17.663,5966.0,3.809,2.322,1.2670000000000001,0.1426
7139200,0.0,5432.0,4.283,1.166,0.951,0.8449
11015239,12.922,5998.0,4.324,1.139,0.998,0.9523
8983703,0.0,5539.0,3.89,1.84,0.958,0.2167
2831252,17.34,5371.0,3.806,2.194,1.125,0.1499
8903821,16.993,5933.0,3.975,1.769,1.08,0.2746
7764984,14.236,5919.0,3.715,2.419,1.107,0.1102
7664422,40.837,5316.0,3.926,1.672,0.86,0.2589
9452683,0.0,5236.0,3.872,1.773,0.8540000000000001,0.2158
