,kepid
761,4449814
762,9533353
763,7820558
764,11237282
765,8007133
766,10684670
767,8249914
768,6763595
769,5876088
770,11760693
771,6204684
772,8165629
773,10197310
774,2447932
775,7840438
776,6929627
777,5568259
778,9774303
779,5380782
780,12156742
781,8389565
782,10579356
783,2422417
784,8588642
785,6606787
786,4372541
787,12367000
788,8591667
789,9229632
790,11018232
791,8041971
792,4348178
793,11351621
794,8397111
795,3831324
796,11824498
797,7703955
798,10619632
799,4947242
800,10802826
801,8526865
802,9327408
803,2708499
804,4735931
805,7421886
806,8315622
807,6423236
808,8392053
809,4281895
810,5556379
811,9880161
812,8741476
813,4243262
814,9641341
815,10710946
816,5395400
817,9945233
818,5219664
819,9663141
820,9540730
821,12406744
822,7516518
823,4140933
824,4930802
825,10583381
826,11289899
827,10800697
828,7341050
829,4764033
830,9299809
831,4158803
832,7297647
833,10862833
834,8848543
835,3338421
836,8524904
837,5513893
838,5640183
839,7940809
840,5130380
841,12024120
842,10810121
843,6629042
844,11617968
845,8618712
846,5300039
847,5698325
848,4459394
849,6104792
850,8112608
851,7663039
852,9719713
853,7732139
854,7627739
855,6750902
856,9141578
857,7336013
858,7281979
859,8282874
860,9574179
861,5344211
862,3965733
863,8611897
864,10938141
865,8943248
866,8154444
867,6976550
868,2557302
869,3641849
870,4069222
871,5734046
872,7440048
873,11134820
874,8461005
875,10091083
876,10977652
877,2693925
878,9094773
879,8086432
880,10166297
881,9508956
882,4648919
883,11770476
884,10716350
885,8248342
886,11080134
887,3234139
888,10802368
889,7585737
890,5534208
891,3847907
892,11495219
893,7255850
894,8695149
895,10556590
896,4640996
897,5164549
898,5903003
899,11657526
900,4830074
