,KIC,Teff,logg,Mass,Period
23037,9767233,5983,4.37,1.1018,50.856
23038,9767532,6152,4.45,1.1549,18.646
23039,9767734,5676,4.51,1.0127,28.535999999999998
23040,9767914,5173,4.81,0.879,27.555
23041,9767927,5614,4.6,0.9956,34.753
23042,9768011,6410,4.15,1.2431,8.633
23043,9768084,4825,4.59,0.7886,33.275999999999996
23044,9768093,5977,4.57,1.1,21.154
23045,9771223,5928,4.45,1.0852,15.356
23046,9771301,4785,4.25,0.778,45.803000000000004
23047,9771472,6158,4.59,1.1568,11.698
23048,9771500,6132,4.8,1.1484,12.23
23049,9771550,5410,4.57,0.9408,6.794
23050,9771820,6088,4.64,1.1344,17.706
23051,9771987,5577,4.76,0.9855,33.544000000000004
23052,9771997,5869,4.48,1.0677,25.822
23053,9772204,4746,4.28,0.7676,46.442
23054,9772633,5931,4.54,1.0861,18.64
23055,9772653,5548,4.22,0.9776,41.803000000000004
23056,9772843,5575,4.73,0.9849,16.296
23057,9772868,5847,4.64,1.0613,19.647000000000002
23058,9772964,5658,4.69,1.0077,51.08
23059,9773026,5067,4.84,0.8516,30.006999999999998
23060,9773105,5706,4.73,1.021,31.261
23061,9773189,6270,4.51,1.1941,3.7560000000000002
23062,9773333,5619,4.49,0.9969,26.41
23063,9773480,5682,4.57,1.0143,0.374
23064,9773502,5813,4.34,1.0514,20.133
23065,9773569,5557,4.41,0.9801,29.21
23066,9773729,5234,4.49,0.8948,31.05
23067,9773761,5508,4.66,0.9669,25.743000000000002
23068,9773794,5686,4.69,1.0155,20.03
23069,9773821,5406,4.41,0.9398,0.33399999999999996
23070,9774205,5297,4.67,0.9112,32.704
23071,9774247,5455,4.61,0.9527,27.82
23072,9774286,5805,4.34,1.0491,0.612
23073,9774293,6187,4.35,1.1663,10.221
23074,9774373,5797,4.44,1.0468,39.984
23075,9774400,5684,4.45,1.0149,5.41
23076,9775213,5706,4.87,1.021,45.169
23077,9775321,6016,4.66,1.1119,21.971
23078,9775393,6224,4.61,1.1786,55.202
23079,9775955,5726,4.35,1.0267,26.086
23080,9776067,5734,4.54,1.0289,43.023
23081,9776236,4461,4.63,0.6893,50.522
23082,9776293,5378,4.43,0.9324,2.0540000000000003
23083,9776584,6193,4.05,1.1683,26.593000000000004
23084,9776782,6044,3.96,1.1206,22.814
23085,9777326,4591,3.99,0.7257,46.957
23086,9777400,5947,4.56,1.0909,25.458000000000002
23087,9777545,5672,4.92,1.0116,40.146
23088,9777628,6064,4.52,1.1268,3.198
23089,9777817,6209,4.66,1.1736,9.429
23090,9777847,4921,4.8,0.8137,31.151
23091,9777996,6168,4.79,1.1601,49.705
23092,9778123,6209,4.52,1.1736,8.232999999999999
23093,9778237,4982,4.37,0.8296,39.650999999999996
23094,9778366,5087,4.43,0.8568,35.544000000000004
23095,9778784,5755,4.53,1.0348,47.398999999999994
23096,9778847,4981,4.64,0.8293,67.416
23097,9778859,5675,4.33,1.0124,13.475999999999999
23098,9778931,4915,4.6,0.8122,31.846
23099,9779017,5730,4.88,1.0278,60.698
23100,9779100,5286,4.79,0.9083,24.268
23101,9779406,5124,4.69,0.8663,42.287
23102,9779413,5931,4.42,1.0861,22.529
23103,9779480,5240,4.6,0.8964,34.42
23104,9779623,5576,4.48,0.9852,42.533
23105,9780161,5942,4.77,1.0894,62.2
23106,9782801,5962,4.77,1.0954,10.963
23107,9782834,5325,4.2,0.9185,42.001000000000005
23108,9782989,5826,4.44,1.0552,25.634
23109,9783013,5803,4.5,1.0486,0.27399999999999997
23110,9783076,4815,4.58,0.7859,27.963
23111,9783088,5636,4.75,1.0016,25.715999999999998
23112,9783164,5410,4.71,0.9408,28.09
23113,9783409,5781,4.41,1.0423,10.84
23114,9783566,5756,4.93,1.0351,16.521
23115,9783607,5967,4.52,1.0969,23.111
23116,9783888,5781,4.78,1.0423,23.734
23117,9784036,6410,4.7,1.2431,3.647
23118,9784064,5269,4.53,0.9039,17.684
23119,9784243,5804,4.35,1.0488,32.193000000000005
23120,9784277,6164,4.17,1.1588,3.055
23121,9784357,6400,4.57,1.2395,2.891
23122,9784467,6047,4.35,1.1215,23.820999999999998
23123,9784544,6044,4.32,1.1206,5.25
23124,9784619,6200,4.72,1.1706,6.312
23125,9784659,5736,4.57,1.0295,26.904
23126,9784674,5774,4.64,1.0403,25.054000000000002
23127,9784701,5384,4.65,0.934,66.297
23128,9784828,5599,4.45,0.9915,36.546
23129,9784862,6428,4.5,1.2496,3.872
23130,9785198,6043,4.62,1.1203,11.065
23131,9785303,6250,4.48,1.1873,10.995999999999999
23132,9785350,6221,4.86,1.1776,4.827
23133,9785392,5487,4.52,0.9613,60.383
23134,9785601,5813,4.75,1.0514,20.173
23135,9785617,5196,4.46,0.885,32.275
23136,9785723,6202,4.55,1.1713,7.546
23137,9785770,5829,4.55,1.0561,17.44
23138,9785858,5098,4.13,0.8596,39.446
23139,9785954,5794,4.51,1.046,0.32899999999999996
23140,9785999,4833,4.53,0.7907,43.166000000000004
23141,9786003,5928,4.16,1.0852,23.498
23142,9786208,5124,4.45,0.8663,41.20399999999999
23143,9786269,5952,4.72,1.0924,0.851
23144,9786453,6031,4.66,1.1165,13.495999999999999
23145,9786546,4852,4.35,0.7957,29.808000000000003
23146,9786617,6325,4.43,1.213,7.712000000000001
23147,9786750,6036,4.45,1.1181,12.03
23148,9787066,6180,4.87,1.164,5.071000000000001
23149,9787159,5617,4.64,0.9964,19.098
23150,9787233,5993,4.57,1.1048,13.783
23151,9787331,5652,4.63,1.006,28.495
23152,9787456,5056,4.43,0.8488,54.113
23153,9787781,6114,4.46,1.1427,18.722
23154,9787831,5748,4.46,1.0329,21.323
23155,9787872,5986,4.47,1.1027,7.067
23156,9787965,5954,4.09,1.093,52.974
23157,9788238,4541,4.58,0.7118,28.631
23158,9788312,5688,4.46,1.016,54.223
23159,9788426,5777,4.16,1.0411,17.971
23160,9788485,5434,4.47,0.9472,32.745
23161,9788579,4775,4.61,0.7753,31.498
23162,9788597,5778,3.77,1.0414,19.582
