,KIC,Period,teff_x,logg_x,radius_x,mass_x,dens_x,teff_y,logg_y,radius_y,mass_y,dens_y
73,5383822,10.530999999999999,5877.0,3.7939999999999996,2.468,1.382,0.1294,5877,3.794,2.468,1.382,0.1294
74,9548956,14.9,5591.0,4.166,1.278,0.8740000000000001,0.59,5591,4.166,1.278,0.8740000000000001,0.59
75,11515669,13.765999999999998,5985.0,4.074,1.558,1.05,0.391,5985,4.074,1.558,1.05,0.391
76,3326666,15.536,5576.0,4.3469999999999995,1.0270000000000001,0.857,1.113,5576,4.347,1.027,0.857,1.113
77,5254856,15.956,5481.0,4.365,0.993,0.8340000000000001,1.2,5481,4.365,0.993,0.8340000000000001,1.2
78,5598173,15.315,5268.0,4.013999999999999,1.564,0.919,0.3388,5268,4.0139999999999985,1.564,0.919,0.3388
79,8163528,20.863000000000003,5869.0,3.977,1.838,1.168,0.2649,5869,3.977,1.838,1.168,0.2649
80,7008840,21.041999999999998,6042.0,4.371,1.075,0.991,1.124,6042,4.371,1.075,0.991,1.124
81,4058090,12.05,5714.0,3.7319999999999998,2.7,1.4340000000000002,0.1026,5714,3.732,2.7,1.4340000000000002,0.1026
82,10583451,15.099,5960.0,4.038,1.652,1.086,0.3391,5960,4.038,1.652,1.0859999999999999,0.3391
83,7960251,18.1,5223.0,3.7769999999999997,1.945,0.826,0.1581,5223,3.777,1.945,0.826,0.1581
84,10257218,17.764,5348.0,3.667,2.822,1.348,0.0845,5348,3.667,2.822,1.348,0.0845
85,10578006,11.335999999999999,5929.0,3.6910000000000003,2.838,1.44,0.08878,5929,3.691,2.838,1.44,0.08878
86,11547589,12.946,5496.0,3.929,1.63,0.823,0.2675,5496,3.929,1.63,0.823,0.2675
87,8386120,0.0,5712.0,4.02,1.608,0.987,0.3347,5712,4.02,1.608,0.987,0.3347
88,3729363,0.0,5568.0,4.164,1.308,0.91,0.5732,5568,4.164,1.308,0.91,0.5732
89,4572351,14.74,5873.0,4.37,1.011,0.873,1.1909999999999998,5873,4.37,1.011,0.873,1.1909999999999998
90,7988940,11.082,6026.0,4.346,1.081,0.947,1.056,6026,4.346,1.081,0.9470000000000001,1.056
91,4841110,18.009,5945.0,4.3919999999999995,1.06,1.01,1.196,5945,4.392,1.06,1.01,1.196
92,2570881,12.208,6053.0,4.258,1.133,0.8490000000000001,0.8216,6053,4.258,1.133,0.8490000000000001,0.8216
93,5613023,21.291999999999998,5741.0,4.368,0.9990000000000001,0.8490000000000001,1.2009999999999998,5741,4.368,0.999,0.8490000000000001,1.2009999999999998
94,5568417,11.421,5878.0,4.348,1.088,0.963,1.053,5878,4.348,1.088,0.963,1.053
