KIC,Period
6380474,10.483
4478659,13.667
4175630,14.033
8196150,16.761
5344796,12.288
8409618,14.576
9453582,13.159
9006703,4.552
9411117,19.362
8546589,10.326
11137995,22.533
4160110,18.447
8474690,19.001
5125261,13.67
11140852,20.813
6967296,12.744
6619674,15.335
4644320,10.819
10130771,10.358
5614959,7.711
5035969,1.731
2570773,8.148
8621423,25.139
10272161,12.29
7018291,15.994
8505218,8.906
10532598,13.214
5007175,23.932
8652213,27.108
10188583,18.439
4557915,16.477
12304005,17.594
3643968,4.853
3957214,14.814
5269432,12.775
3852543,13.412
8250986,50.805
5791990,17.436
7214916,18.971
9205906,11.275
9211013,4.227
11305110,12.849
11911285,14.044
8811646,18.946
8161195,21.814
5265577,3.26
4951662,13.717
11074125,3.955
3458200,10.821
4848238,9.627
5388834,23.823
11822082,12.763
12053270,18.457
8547085,7.593
7368642,21.477
3530520,5.093
6935171,15.994
8156310,15.424
5084775,8.035
9307591,4.328
9489847,14.248
11016503,13.646
5867162,5.84
10991774,11.095
10617785,1.82
5780861,9.564
12109810,11.556
6780583,7.637
6230776,14.078
12202068,15.148
8375438,11.426
3525290,18.681
7815774,13.028
7103927,17.795
